SampleID,Az_true,El_true,AzSector,ElSector,Sector,MUSIC_Az,MUSIC_El,GCC_Angle,ILD_dB,RMS_mean,FFT_PeakFreq,SpecEntropyNorm
95,-71.8555187023185,40.490983564072,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-70,42,40.5821888613814,0.0227370812820494-4.75789789183023i,0.312463291617363-0.000352298008967172i,2627.05078125,0.74417319953389
96,-71.7550944075767,43.5900895437426,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-71,44,43.5055192313609,0.026223818456188-4.24154682180398i,0.323562596516322-0.000304043188852493i,608.671875,0.742282350278657
97,-70.3834551516913,41.6369167778868,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-72,42,41.6180091581373,-0.00887144648032478-5.09153739530211i,0.315718433522346+0.000147716925701702i,697.67578125,0.739667402563679
98,-74.0907556233708,43.3643181315747,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-74,43,43.4842124731484,0.0106876896938872-5.67762355088143i,0.303300558511333+0.000206770050824992i,2006.89453125,0.741609421062829
99,-79.9538895624699,43.630656773305,Az_-80to-70,El_40to50,Az_-80to-70_El_40to50,-80,44,43.7101010362019,-0.00724803788898441-5.07162891163351i,0.321862030136219-0.000116929511446037i,743.61328125,0.739702637768386
100,-61.9078761850281,8.93174205610677,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-62,2,8.95642986500357,0.0399020777409315-6.56306823218599i,0.304618959060152-7.82821726991179e-06i,1894.921875,0.737507352390606
101,-65.2378230610317,0.215603178837902,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-66,6,0.33885790715619,0.0323838745420987-7.70622248753846i,0.296580451646046-7.6239012051782e-05i,1444.16015625,0.738530120532496
102,-61.4028182734316,0.200649516811676,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-62,-0,0.109809418864794,-0.00864901187497864-5.22078735540482i,0.309986616835154-4.42490432726456e-05i,990.52734375,0.740248039455572
103,-62.3055025010591,0.176577428310103,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-63,-0,-0.0536624675669776,0.00573892597777094-6.95652625947526i,0.294368945060642-0.000113499647267562i,1475.7421875,0.738032438910103
104,-61.2917299483323,4.16730682465387,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-61,7,4.09583732688208,0.0212609975241686-7.58762170656753i,0.288575069900231-0.000251652520032841i,1073.7890625,0.737793466602471
105,-67.0467284320363,9.74314421119877,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-68,11,9.75542769714072,-0.0250536729744645-6.28794346309101i,0.307066457098315-3.8587420111473e-05i,795.29296875,0.739172104742501
106,-60.4257558710324,5.00446215220995,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-60,-0,5.08224743769044,0.00802466642640193-6.64153606489903i,0.299567919518267+1.26144996235172e-05i,1590.5859375,0.739704176847169
107,-60.6473247024708,3.05292153985013,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-61,-0,3.26213631112813,-0.0186033922235653-6.0075104108873i,0.316801939560785+0.000401351163702893i,1616.42578125,0.73881287615902
108,-66.5696333175215,7.01727406838679,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-66,-0,7.31288943943984,0.0117061875361385-7.70737931029514i,0.289989961449381-0.00025493124996407i,1332.1875,0.740331061928677
109,-61.8393798608595,3.41738258094107,Az_-70to-60,El_0to10,Az_-70to-60_El_0to10,-62,8,3.41584829737504,0.00275878442637228-6.70647664538024i,0.295666767276681+8.20875325825837e-05i,1765.72265625,0.739603541950743
110,-63.4107527100299,17.7681506645868,Az_-70to-60,El_10to20,Az_-70to-60_El_10to20,-63,10,17.8107845981412,-0.00936049932177956-5.47305559999127i,0.310238145329415-0.000126169582883653i,2672.98828125,0.741749652158885
111,-65.2386020204225,10.79709391884,Az_-70to-60,El_10to20,Az_-70to-60_El_10to20,-66,13,10.7411392954218,0.0136128943728744-6.63040317519599i,0.303925998363936+0.000332428377768396i,539.765625,0.737756515349251
112,-62.4606418520905,13.1507656186194,Az_-70to-60,El_10to20,Az_-70to-60_El_10to20,-62,13,13.1079390573975,0.000803064404530976-6.86330267324708i,0.301461541493086+0.000136713364661784i,1711.171875,0.740830945372526
